text,target
['' 'Share' 'Police have warned motorists against reckless driving  saying violators of road safety standards that put people’s live in danger risk prosecution and revocation of their licenses.' '' ' The warning follows two separate accidents that happened on April 18 leaving five people dead.' '' 'One of the accidents occurred in Nduba Sector  Gasabo District killing four people including a driver and three pedestrians after a loaded truck registration number RAD 731J lost control.' '' 'The truck which belongs to a local construction company also rammed into a nearby house but fortunately nobody was inside.' '' 'Another incident happened in Kabuga Cell of Kageyo Sector Gicumbi District when a coaster plate number RAD 792 B knocked a pedestrian who died on spot.' '' 'The spokesperson for Traffic and Road Safety department Chief Inspector of Police Emmanuel Kabanda attributed the accident to “reckless driving” and warned drivers who violate traffic regulations.' '' '“We have said it time and again that road users especially drivers and motorcyclists must abide by traffic rules and regulations avoid driving while talking on phone overtaking in dangerous corners over-speeding and other careless driving practices” CIP Kabanda said.' '' '“It’s also in the interest of drivers to observe road safety. They will be sparing their lives and that of their passengers and their automobiles. When driving safety should be put first” he explained.' '' 'He warned owners of vehicles with mechanical faults to take them for inspection and to fix them to avoid likely accidents.' '' 'The presidential decree No. 85/01 of September 02 2002 regulating general traffic police and road traffic stipulates in part that “vehicles not satisfying the set technical criteria will not be issued a certificate. Owners of vehicles using public roads without the certificate will also be liable to a fine of Rwf25 000.”' '' '“Driving a vehicle without due care or attention is a sign of recklessness that puts other road users at risk of fatal accidents” CIP Kabanda.' '' ' “Most road accidents are avoidable they are due to bad driving habits carelessness such as driving while distracted driving aggressively and failing to inspect vehicles for mechanical problems…all these are things that are avoidable. To a lesser extent some pedestrians also cross the roads carelessly and this single act can cause a fatal accident.”' '' 'As part of the effort to prevent accidents largely caused by speeding Police have ordered installation of speed governors in all public vehicles which limit drivers to a maximum speed of 60 kilometre per hour.'],1
[""All the nine victims of last Friday's road accident in Kicukiro Trading Centre have been discharged from hospital."" '' 'Seven people were killed while nine others were injured when a truck loaded with sand rammed into several parked vehicles and motorcycles.'],1
['KIGALI July 16 (Xinhua) -- Eight people have been confirmed dead and 17 others injured after a passenger public service vehicle got involved in an accident on Tuesday morning in Karongi district western Rwanda the police said.' '' 'The accident occurred at around 7:00 a.m. local time when a bus skidded and rolled off the road when it was heading from the Rwandan capital city Kigali to Nyamasheke district in Western Province Jean-Marie Vianney Ndushabandi spokesperson for traffic and road safety department at Rwanda National Police told Xinhua by telephone.' '' 'The injured were rushed to Kibuye hospital in Karongi district while those in critical situation were airlifted to King Faisal Hospital in Kigali said Ndushabandi.' '' 'The cause of the accident has not yet been established but the police suspect the fatigue of the driver as a probable cause of the accident.' '' 'The spokesperson further advised motorists to avoid speeding especially when approaching sharp bends and always follow speed limit signposts along the highway.' '' 'At least 465 people were killed and 654 were injured in 2018 due to road accidents according to the Rwandan police.'],1
['Details have started emerging about the nature of Brigadier General Dan Gapfizi’s fatal car crash that claimed five lives - including the General’s- on Tuesday.The deceased include the General’s driver another occupant identified as Ferdinand Akumuntu a lady identified as Therese Mukabasinga a pedestrian  and another man whose identities was not readily available by press time but was reportedly on a bicycle.The accident occurred at 5.30pm between Karangazi and Kizirakome on the Kagitumba-Kayonza highway in Eastern Province.The only survivor was the General’s escort who is currently admitted at Rwanda Military Hospital in a critical condition.Gapfizi born in 1957 in Ruhango District Southern Province will be laid to rest today at Kanombe Military Cemetery in Kigali. The accident was caused by a pedestrian and a cyclist according to eye witnesses.Ambrose Agaba who described the accident as the worst he had ever seen told The New Times yesterday that the General’s Land Cruiser vehicle first hit the pedestrian and then the cyclist before veering off the road.“A cyclist and a pedestrian were moving alongside each other seemingly chatting. The manner in which they moved suggested that one of them was on the road. The vehicle crashed into them before its driver lost control...it rolled down the road killing its occupants. It was a horrible accident.” According to Agaba the deceased pedestrian was an office messenger at Karangazi Sector who was retiring home from work.Rescue efforts were carried out by an army helicopter and the General died enroute Kigali for treatment.“This is a busy highway (Kagitumba). You expect vehicles to be speeding and pedestrians to keep a distance. Unfortunately people don’t take care and the accident could have been a result of such carelessness.”Emmanuel Rukera the late Akumuntu’s neighbour said the family was still struggling to come to terms with the tragedy. Akumuntu was a driver who worked with a number of government officials in the country. He was reportedly working with the National Electoral Commission by the time of his death.“Akumuntu was only 35 years he is survived by two children...we are laying his body to rest today [yesterday] in Kanombe. His family is very close to me which is why I find myself in almost similar sad situation. He was a good friend of the late General” Rukera said.Meanwhile Superintendent Emmanuel Karuranga the Eastern Province Police spokesman urged all road users to be careful.“The spot where the accident occurred is flat with gently sloping corners tricky for all road users. Pedestrians drivers cyclists should be careful when using the road. There is a mobile police unit to monitor road safety as a result” he said.Fourty-one accidents were reported in the Eastern Province between January and May 2013 according to Police.The 2012 police accidents report indicates that 308 lives were lost last year in road accidents in the country.May recorded the most deaths with 44 deaths followed by July with 42 while fewer deaths were recorded in June (23) and April (24).Thirty-three people have perished in road accidents in Eastern Province alone between August and October last year. Most accidents were blamed on negligence and speeding.Express taxis plying the Kigali-Nyagatare route have been cited as notorious for violating traffic regulations where drivers take advantage of absence of traffic police in remote areas to abuse traffic rules…motorcycles carrying more than one person and without licenses.The Police regularly use Traffic Week to educate the public on traffic rules'],1
['Three Rwanda Defence Forces (RDF) soldiers died and 21 others were injured when a military truck they were travelling in overturned yesterday.' '' 'The accident occurred in Kicukiro District a few metres from the trading centre.' '' 'The truck was transporting soldiers from Nyanza on the Kigali-Nyamata road to drop them off to their various stations for duty according to Lt Col René Ngendahimana the acting military and defence spokesperson.' '' '“Six soldiers suffered serious injuries the injured have been admitted to Rwanda Military Hospital Kanombe for treatment” said Ngendahimana.' '' 'The identities of the deceased soldiers were not released by press time. As well the cause of the accident was yet to be established pending Police investigation.' '' 'But preliminary reports pointed to brake failure Ngendahimana said.' '' 'In June seven people died in another accident on Nyamata–Kigali road around Kicukiro trading centre when a truck that was transporting sand experienced brake failure. It hit over 13 other vehicles in the busy area.' '' 'Residents yesterday called on officials to look for alternative routes for heavy trucks to minimise accidents in the area.' '' '“The road is dangerous it was a miracle that we saw survivors in this latest accident as it seemed to be more deadly. I think heavy trucks should get alternative routes or be allowed access on the road during off-peak hours only” said Theoneste Ndikubwami a resident.'],1
['A Twitter discussion between Prime Minister Anastase Murekezi and other users on Sunday was ended with the government boss requesting the police to reinforce measures of road safety after different accidents that occurred during the weekend claimed the lives of at least 20 people and injured 26 others.' '' 'In Musanze  a truck on its way from Rubavu to Kigali crashed into Musanze hospital on Sunday morning killing at least three people while in Kinyinya in Nyarugenge district at least seven people were killed and 10 injured in another road accident.'],1
['One person was killed and six others sustained injuries when a truck lost control and rammed into several vehicles in Kicukiro district yesterday.The accident occurred at Kicukiro bus station at about 12.30 pm. Police identified the deceased as Theoneste Birizande a motorcyclist.The injured including a motorcyclist who was in critical condition were rushed to CHUK Hospital.According to police and eye witnesses the lorry was travelling from Nyanza when its braking system failed. In the impact it hit about six vehicles and four motorcycles which were parked before stopping.“It was coming from Nyanza direction at a high speed while honking. It lost control and first hit a minibus” said an eye witness.The injured were standing by the roadside some of them passengers waiting for taxis another eye witness said.The eye witnesses added the lorry driver escaped before the police arrived at the scene. Traffic Police Commander Chief Supt. Celestin Twahirwa confirmed the accident was due to failure of the lorry’s braking system. The lorry belonged to a construction company NPD COTRACO.'],1
['TWO PEOPLE died on Sunday morning when a mini-bus they were travelling in veered off the road before overturning several times in Nzahaha sector Rusizi District. Eight others were seriously injured  and were rushed to Gihundwe Hospital where they were still under intensive care by press time yesterday. The Toyota Hiace Minibus registration number RAA899Q  overturned several times and rolled for about 200 metres before landing in Cyarubondo valley. The vehicle cut banana plantations shrubs and everything on its way. It miraculously missed a residential house.Eyewitnesses said if it had hit the house the death toll could have risen as the occupants were inside the house when the accident occurred.  The vehicle which was heading to Bugarama town was carrying 12 passengers according to police. Two of them escaped unhurt.  The identities of those who died – a woman and the driver- could not be verified by press time.The accident happened shortly after 6.00 pm at a junction in Kigenge Cell Nzahaha Sector on the Kamembe-Bugarama highway. An eyewitness at the scene of the accident described it as the ‘worst and most terrifying’ he had ever seen.The speeding vehicle “hit a small land elevation before literary flying” the man in his late 20s told The New Times.Minutes before the accident the driver reportedly told passengers he had failed to control the braking system causing panic and chaos among the passengers one of the surviviors said.When The New Times visited the scene of the accident on Sunday night area residents were helping in rescue efforts. Yesterday dozens of shocked and stunned residents gathered again at the scene of the accident and were discussing the circumstances under which the accident occurred.“This is a regrettable loss for the entire country” a resident who identified himself only as John said. “We are saddened by what happened”.Mechanical faultSunday’s accident comes days after another accident claimed several lives on the same Kamembe-Bugarama highway about two weeks ago. Five people died and 12 others were injured when a minibus carrying 18 passengers all Congolese nationals veered off the road.The accident which involved a mini-bus from Bukavu to Uvila in DR Congo through Rwanda was attributed to over-speeding.Speaking to The New Times the Western Region Police Spokesperson Supt Hamza Vita said the accident might have been caused by a mechanical fault. The vehicle was too old which might have caused the breaks to fail Supt Hamza said calling upon car owners to ensure proper mechanical conditions for their vehicles. “Regular vehicle inspection could give car owners a clear state of their vehicles and what should be corrected” he said.All vehicles are required to undergo a periodic technical inspection and those that are not roadworthy are required to be repaired before they are allowed on the road again.Supt. Vita said plans to install large roadside signs on the Kamembe-Bugarama road are underway while Police plans to deploy a patrol vehicle in an effort to clamp down on over-speeding drivers.'],1
['Three Rwanda Defence Forces (RDF) soldiers died and 21 others were injured when a military truck they were travelling in overturned yesterday.' '' 'The accident occurred in Kicukiro District a few metres from the trading centre.' '' 'The truck was transporting soldiers from Nyanza on the Kigali-Nyamata road to drop them off to their various stations for duty according to Lt Col René Ngendahimana the acting military and defence spokesperson.' '' '“Six soldiers suffered serious injuries the injured have been admitted to Rwanda Military Hospital Kanombe for treatment” said Ngendahimana.' '' 'The identities of the deceased soldiers were not released by press time. As well the cause of the accident was yet to be established pending Police investigation.' '' 'But preliminary reports pointed to brake failure Ngendahimana said.' '' 'In June seven people died in another accident on Nyamata–Kigali road around Kicukiro trading centre when a truck that was transporting sand experienced brake failure. It hit over 13 other vehicles in the busy area.' '' 'Residents yesterday called on officials to look for alternative routes for heavy trucks to minimise accidents in the area.' '' '“The road is dangerous it was a miracle that we saw survivors in this latest accident as it seemed to be more deadly. I think heavy trucks should get alternative routes or be allowed access on the road during off-peak hours only” said Theoneste Ndikubwami a resident.'],1
['Two people died and 10 others suffered severe injuries in an accident on Kigali-Gicumbi highway on Monday Police confirmed.' '' 'The accident occurred at around 8:30pm in Mutete Sector Gicumbi District at a spot called ‘Rwafandi’.' '' 'One person died on the spot while another died from Byumba Hospital where he had been taken for treatment.' '' 'The deceased were identified as Betty Kayitesi and Isidore Habumugisha.' '' 'The accident involved a coaster belonging to Stella transport agency and a truck according to Jean Marie Vianney Ndushabandi the Traffic and Road Safety spokesperson.' '' 'Ndushabandi said preliminary investigations show that the accident was caused by the truck driver who he said was speeding.' '' '“The driver lost control of the truck and it collided head-0n with the coaster from the opposite direction. The injured are being treated from the same hospital” said Ndushabandi.' '' 'He urged motorists to be cautious on the road adding that some roads such as the Gicumbi-Kigali highway have many sharp bends.' '' '“Motorists wishing to overtake should also follow traffic rules and do so through the right side” Ndushabandi added.' '' '“I was near the road and heard the vehicles hooting from both sides shortly before we heard a loud bang and people screaming. We rushed to the scene and tried to rescue some of the passengers but some were in bad shape” a witness only identified as Ayinkamiye said.' '' 'Medics at Byumba Hospital said some of those admitted at the health facility were under intensive care while others were out of danger after being treated of minor injuries.'],1
